course_code,name,credits,level,semester_offering,description
C-PH112,Advanced Physics,3,1,Spring,"This course introduces students to the foundational principles of electromagnetism, starting from electricity and progressing to electromagnetic waves. Topics include electric field concepts, Gauss’s law, electric potential, capacitors and dielectrics, and basic electric circuits. The study of magnetism covers magnetic fields and currents, magnetic materials, magnetic induction, inductance, and magnetic energy. Maxwell's equations are derived and applied to understand electromagnetic waves. Additional topics include alternating current (AC) circuits and an introduction to semiconductors and basic electronics. Through theoretical and practical exploration, students will build a solid understanding of electromagnetic phenomena relevant to engineering and physics applications."
C-PH113,Digital Logic Design,4,1,Spring,"This course introduces students to the fundamentals of digital logic design, covering both combinational and sequential circuits. Topics begin with logic states, number systems, Boolean algebra, basic logic operations, gates, and truth tables. Students will learn combinational logic design, including minimization techniques, multiplexers, demultiplexers, encoders, decoders, adders, subtractors, comparators, programmable logic arrays, memories, and medium-scale integration (MSI) design principles. The course also explores logic families and tri-state devices. In sequential logic, students study flip-flops, monostable multivibrators, latches, registers, and counters. Emphasis is placed on analysis, optimization, and practical design methods used in digital systems, preparing students for further study in computer architecture and hardware design."
C-MA321,Graph Theory,4,3,Fall,"This course introduces students to the fundamental concepts of graph theory, exploring key graph properties and formulations of classic graph problems. Topics include the basics of graphs and related structures, graph isomorphism and automorphism, degree sequences, Eulerian and Hamiltonian walks/cycles, trees and networks, the Traveling Salesman Problem (TSP), graph matching, Euler's formula, network flows, and graph colorings. Additionally, the course covers essential combinatorial principles such as sets and subsets, sequences, permutations, factorials, Fibonacci numbers, Catalan numbers, the inclusion-exclusion principle, recursions, the pigeonhole principle, and basic counting techniques. Algebraic and geometric aspects of combinatorics—such as binomial coefficients and Pascal's triangle—are also introduced. Throughout the course, students will examine both theoretical foundations and algorithmic applications, equipping them to model, analyze, and solve problems using graph-theoretic and combinatorial methods."
C-CS111,Introduction to Computing and Programming,4,1,"Fall,Spring","This course provides students with an understanding of the role computation plays in solving real-world problems, emphasizing practical problem-solving through programming. The course begins with an introduction to computers and the program design and development process, including problem definition, pseudocode and algorithm development, and flowcharting. Students will then build fundamental programming skills using Python or C++, covering core concepts such as procedures, functions, iteration, string manipulation, and decision structures. Through hands-on assignments, students will learn to translate real-world problems into clear computational solutions, establishing a strong foundation for further study in computing."
C-CS112,Programming Fundamentals,4,1,Spring,"This course builds students’ programming skills through the exploration of core programming concepts and techniques. Topics include structured data types such as one- and two-dimensional arrays and strings, dynamic data structures using pointers, and the principles of recursion. The course introduces object-oriented programming in C++, covering the development of algorithms with an emphasis on abstraction, modularity, and the use of data structures and abstract data types. Through hands-on projects, students will apply these concepts to design and develop programs that solve real-world problems, strengthening their ability to write efficient, well-structured, and scalable code."
C-CS213,Data Structures,4,2,Fall,"This course enables students to learn and apply core algorithmic techniques and advanced object-oriented programming principles to implement fundamental data structures. Topics include array-based lists, linked lists, hash tables, recursion, heaps, stacks, queues, priority queues, binary search, binary search trees, AVL trees, and graphs. Through hands-on implementation in an object-oriented language, students will strengthen their ability to select, design, and apply appropriate data structures to solve real-world computational problems efficiently and effectively"
C-CS214,Computer Architecture and Organization,4,2,Fall,"This course introduces the fundamental principles of machine architecture, focusing on the design and organization of computer hardware. Topics include the structure and function of core components such as the CPU, memory, registers, arithmetic and control units, and input/output systems. The course covers data representation, Boolean algebra, machine-level programming, and instruction set architecture. Students will explore processor organization, memory hierarchy, virtual memory, pipelining, and performance analysis, as well as the processes of compiling and linking. Emphasis is placed on understanding how hardware and low-level software interact to execute programs efficiently."
C-CS215,Computational Linear Algebra,4,2,Spring,"This course investigates fundamental concepts of linear algebra and their practical applications across mathematics, applied sciences, and related fields. Topics include systems of linear equations, vector and matrix equations, linear transformations, matrix operations, inverses, factorizations, and numerical precision considerations. Students will explore computational methods with an introduction to MATLAB programming and discuss complexity, subspaces, dimension, rank, determinants, eigenvalues, eigenvectors, and diagonalization. Advanced topics such as inner products, orthogonality, Gram-Schmidt process, least squares approximation, singular value decomposition, quadratic forms, and constrained optimization are also covered. Emphasis is placed on using linear algebra as a tool for modeling and solving real-world problems, supported by computational exercises and applied examples."
C-CS316,Introduction to Operating Systems,4,3,Spring,"This course introduces students to the core components and design principles of modern operating systems, exploring the trade-offs between performance and functionality in OS implementation. Emphasis is placed on major operating system subsystems, including process management, memory management, and file systems. Topics include processes and threads, process coordination, inter-process communication, thread applications, synchronization primitives, deadlocks, and classic synchronization problems such as the Readers–Writers Problem. Students will also examine memory management techniques such as partitioning (fixed vs. dynamic), paging, segmentation, and file system design. Through hands-on systems programming projects using operating system interfaces and development tools, students will apply theoretical concepts to practical implementations, gaining a deeper understanding of how operating systems manage resources and support execution environments."
C-DE211,Data Analysis,4,2,Spring,"This course introduces students to statistical inference methods used for data-driven decision-making in business and research. Emphasis is placed on developing both a conceptual understanding of statistical principles and practical hands-on skills in data analysis. Topics include linear regression, multiple regression, nonparametric inference methods, estimation using confidence intervals, hypothesis testing, variable transformation, categorical data analysis, and logistic regression. The course also covers experimental design and model checking/selection prior to building predictive models. Throughout the course, students will apply these methods using widely adopted statistical and computing tools, equipping them to perform, interpret, and communicate robust data analyses in applied settings."
C-DE312,Introduction to Database Systems,4,3,Fall,"This course introduces the fundamental concepts of database systems, familiarizing students with the design, implementation, and use of contemporary relational databases. Topics include conceptual and logical data modeling using entity-relationship (ER) and relational models, query languages such as relational algebra and SQL, and database design principles including normalization and functional dependencies. Students will also gain practical experience in data manipulation and analysis, building a solid foundation for advanced database topics and real-world application development."
C-AI321,Introduction to Machine Learning,4,3,Spring,"This course introduces students to foundational models and algorithms in machine learning, blending theoretical principles with practical implementation. Topics include logistic regression, k-nearest neighbors, decision trees, random forests, principal component analysis, clustering methods such as k-means and hierarchical clustering, support vector machines, Naïve Bayes classification, and recommender systems. Students will also learn critical aspects of the machine learning workflow, including model validation, regularization techniques, optimization functions, hyperparameter tuning, and strategies for handling unbalanced datasets. Through hands-on assignments and projects, the course equips students with the skills to select, implement, evaluate, and refine machine learning solutions for diverse real-world problems."
C-CS341,Introduction to Computer Networks,4,3,Spring,"This course introduces students to the concepts, principles, protocols, and applications that underpin modern computer networks. Topics include layered network architectures, data link protocols, local area network technologies, routing and transport mechanisms, and network programming interfaces. Covered protocols and systems include Ethernet, Token Ring, TCP/IP, HTTP, and the World Wide Web. Through a combination of theory and application, students will gain foundational knowledge in network design, functionality, and practical implementation, preparing them for further study or roles in network administration, development, and systems engineering."
C-CS351,Selected Topics in Basic Computer Science,4,3,Spring,"This flexible-topics course introduces students to foundational and emerging topics in computer science that are relevant in a rapidly evolving technological landscape. The course adapts to new developments, covering contemporary themes. Through a responsive curriculum, students will gain timely insights into essential concepts, tools, and methods, preparing them to engage with current technology trends and foundational computer science principles in an ever-changing digital world."
C-CS352,Selected Topics in Basic Computer Science-2,4,3,Fall,"This flexible-topics course introduces students to foundational and emerging topics in computer science that are relevant in a rapidly evolving technological landscape. The course adapts to new developments, covering contemporary themes. Through a responsive curriculum, students will gain timely insights into essential concepts, tools, and methods, preparing them to engage with current technology trends and foundational computer science principles in an ever-changing digital world."
C-SW311,Software Design and Development,4,3,Spring,"This course introduces students to the essential principles of program and code design, focusing on the skills, tools, and theories required to become effective software developers. Topics include an overview of software engineering, various software process models, design fundamentals, architectural and design patterns, and testing basics. Students will gain practical experience with development tools such as makefiles, debuggers, and version control systems. Emphasis is placed on adopting good coding practices, including effective documentation, correct loop construction, clear program organization, and consistent naming conventions. Additionally, the course covers UML basics, group collaboration skills, project management, professional conduct, and technical communication tailored to diverse audiences."
C-AI311,Introduction to Artificial Intelligence,4,3,Fall,"This course introduces the fundamental principles, techniques, and applications of Artificial Intelligence (AI). Topics include problem-solving methods, search strategies, inference techniques, knowledge representation, planning, machine learning, robotics, and practical AI applications. Students will also gain hands-on experience implementing core AI algorithms using modern programming tools and AI-specific languages, building a practical foundation for designing, developing, and evaluating intelligent systems."
C-DE324,Big Data Engineering,4,3,Spring,"This course provides students with an in-depth exploration of big data application development, focusing on the design, management, and processing of data-intensive systems. Topics include data modeling across various NoSQL databases—such as key/value, column-family, document, and graph-based stores—as well as stream and real-time processing frameworks. Students will learn to design big data architectures, use distributed computing tools like Spark and Hadoop, and work within big data ecosystems involving tools such as Sqoop, Kafka, and Hive. Through real-world examples and hands-on projects, the course equips students with the skills needed to build, optimize, and deploy scalable big data solutions."
C-SW312,Introduction to Software Engineering,4,3,Fall,"This course presents the foundational principles and concepts of software engineering, providing a solid basis for advanced study in the field and broader computer science disciplines. Students will be introduced to essential terminology, methodologies, and practices in software development. Key topics include the fundamentals of system development using object-oriented technology and UML, various software process models, project management principles, requirements engineering processes, and systems analysis and design. Upon completion, students will be able to perform basic modeling and design using UML, and will gain an introductory understanding of software requirements, architecture, and testing methodologies."
C-CS218,Algorithms Design and Analysis,4,2,Spring,"This course offers an in-depth exploration of algorithms and data structures, equipping students with a strong theoretical and practical foundation in the design and analysis of major algorithm classes. Topics include time complexity analysis of recursive and non-recursive algorithms, fundamental searching, merging, and sorting techniques, and advanced strategies such as greedy algorithms, divide-and-conquer, and dynamic programming. Students will also examine data structures including B-trees and B+ trees, string algorithms, indexing structures, and key graph algorithms (shortest path, minimum spanning tree, depth-first and breadth-first search). Additional coverage may include geometric, probabilistic, or numerical algorithms. Through this course, students will develop the ability to design, implement, and analyze algorithmic solutions, compare performance trade-offs, and adapt or create algorithms for real-world computational tasks."
C-CS219,Advanced Programming,4,2,Spring,"This course delves into modern functional programming using languages such as OCaml or Scala, with the goal of improving students' software design and development skills. Topics include functional programming fundamentals such as primitive types, operators, let bindings, lambda expressions, recursion, conditional expressions, and pattern matching. Students will work with core functional data structures including tuples, lists, product types, sum types, and inductive types. Advanced concepts such as higher-order functions, currying, closures, parametric polymorphism, and list transformations using map, filter, fold, and reduce will be covered extensively. The course also examines evaluation strategies (call-by-value, call-by-name, lazy evaluation), and control mechanisms like exceptions and continuations. Students will explore imperative aspects like side effects and mutable data structures within a functional setting. All implemented in a functional language to foster clean, expressive, and robust programming habits."
C-DE413,Distributed Database Systems,4,4,"Fall,Spring","This course introduces students to distributed programming and systems concepts within high-scale environments, with an emphasis on commercial data center applications. Topics include distributed database management, distribution architectures and design, distributed query processing and optimization, and distributed concurrency control. Students will also study distributed reliability protocols, modern distributed architectures, pervasive and mobile distributed database management, web data management, and principles of interoperability and componentization. Through a combination of theory and applied projects, the course prepares students to design, develop, and manage distributed systems that are scalable, reliable, and suitable for enterprise-level deployments."
C-DE421,Data Science I: Fundamentals,4,4,Fall,"This course develops proficiency in the full data science pipeline using real-world datasets and the Python data science ecosystem. Students will learn to acquire, clean, and manage data, handle missing values, and store data efficiently. The course emphasizes exploratory data analysis, visualization, feature engineering, modeling, and interpretation, alongside techniques for presenting insights effectively. Key topics include summarizing and visualizing data, applying statistical inference, implementing core data mining and machine learning models, and designing data science solutions aligned with business needs. Through hands-on labs using data mining tools and analytics software, students will gain practical experience building end-to-end data science workflows that are reproducible, interpretable, and actionable."
C-DE414,Architecture and Implementation of Database Management Systems,4,4,Fall,"This course provides an in-depth examination of relational database systems, focusing on their foundational principles, architectures, and practical operations. Students will explore core topics such as the goals and functions of Database Management Systems (DBMS), catalogs, physical storage techniques, query processing and optimization, transaction management, concurrency control mechanisms, recovery procedures, distribution, security, integrity, and advanced features including extended data types, triggers, and rules. Emphasis is also placed on understanding the architectural foundations of DBMS, including performance, availability, and reliability characteristics of hardware and operating systems, memory management in multi-user environments, and logging and crash recovery processes. Through a problem-based approach, the course integrates both traditional concepts and emerging developments in database technology, preparing students to design, analyze, and manage robust and efficient relational database solutions."
C-DE422,Data Science II: Big Data Analytics,4,4,Spring,"This course integrates the data science pipeline with big data concepts to enable students to extract meaningful insights from large-scale datasets. Students will learn to scale machine learning models and data analysis techniques using modern big data technologies, with an emphasis on industry applications. Topics include parallel algorithm development using MapReduce and Spark frameworks, matrix and graph operations, linear regression, similarity analysis, data stream mining, time-series data analysis, clustering, dimensionality reduction, and the Hadoop ecosystem. Through hands-on labs and real-world projects, students will develop practical skills in designing and implementing scalable analytics and machine learning solutions on big data platforms."
C-CS417,Web Programming,4,4,Fall,"This course provides students with the essential skills for building functional websites and serves as a foundation for web development technologies. Topics include internet history, architecture, and protocols; network programming; client-server architectures; client-side and server-side programming; dynamic HTML; Java programming; object-oriented architecture and design; distributed object computing; and the development of modern web applications. Through hands-on projects and theoretical understanding, students will learn to design, implement, and deploy interactive, client-server web solutions."
C-CS443,Introduction to Data Security,4,4,Spring,"This course provides students with an introduction to data-level security and its various models, covering both foundational and contemporary approaches to securing information systems. Topics include an overview of information security, basic cryptography, access control fundamentals and models, integrity and authentication models, database security, distributed systems access control, data privacy, data provenance, malicious logic and detection/prevention techniques, and an introduction to blockchain technology. Through a blend of theory and applied examples, students will gain a comprehensive understanding of how data security is designed, implemented, and maintained across different computing environments."
C-CS442,Introduction to Computer Security,4,4,Fall,"This course introduces the principles and practices of computer security, providing students with an understanding of fundamental cryptographic functions, protocols, and defense mechanisms. Topics include risk analysis, authentication and access control models, security evaluation methodologies, audit trails, applied cryptography, and security implementations for networks, databases, and applications. Students will also explore threats such as viruses and malware, and learn protective technologies including firewalls. The course offers a balanced overview of vulnerabilities and countermeasures across software, host systems, networks, and web-based environments."
C-MA425,Cryptology and Number Theory,4,4,Fall,"This course introduces students to classical cryptosystems and the foundational concepts of public key cryptography. Topics include one-time pads and perfect secrecy, public key ciphers such as RSA and discrete logarithm-based systems, number-theoretic tools including the Euclidean algorithm, finite fields, and quadratic reciprocity. The course also covers message digests, hash functions, and cryptographic protocols for key exchange, secret sharing, and zero-knowledge proofs. Students will explore cryptanalysis techniques using probabilistic algorithms, primality testing, integer factorization, pseudorandom number generation, and an introduction to elliptic curve cryptography. Through theory and applied exercises, students will develop the ability to analyze and design secure cryptographic protocols."
C-SW423,Development of Secure Software Systems,4,4,Spring,"This course provides students with a comprehensive overview of threat modeling and security assessment throughout the software development lifecycle. Students will learn techniques to identify, exploit, detect, mitigate, and prevent vulnerabilities at multiple layers—including design, coding, application, compiler, operating system, and networking. Topics include threat modeling, data flow diagrams, threat taxonomies, input validation and memory corruption bugs with mitigations, defensive programming and testing methodologies, operating system security mechanisms (identification, authentication, access control, isolation), network security principles, cryptographic protocols, web and mobile security and privacy threats, and human factors in security. Through practical exercises and case studies, students will develop skills to build more secure and resilient software systems."
C-SW421,Software Engineering I,4,4,Fall,"Upon completion of this course, students will be able to effectively articulate the principles and practices of software testing, verification, and validation, and apply key concepts in software quality assurance. Topics include verification and validation methods, critical systems validation, human resource management in software projects, cost estimation, quality management and process improvement, legacy systems and software change management, software re-engineering, and configuration management. Through theoretical frameworks and practical application, students will learn to design testing strategies, implement quality control processes, and manage software change and configuration in a systematic and professional manner."
C-SW422,Software Engineering II,4,4,Spring,"This course develops students' abilities to engineer software-intensive systems through effective requirements analysis, design, testing, maintenance, and quality management. Building on foundational software engineering knowledge, the course extends into specialized techniques for software maintenance, evolution, dependability, reliability, safety, security, and resilience. Topics include software testing methodologies, software maturity models, cost specification models, defect estimation, software reliability models, complexity analysis, quality control, model-driven development, code generation, domain-specific languages, continuous integration and deployment, governance, and static and dynamic program analysis. Through theory and applied projects, students will learn to apply established software development principles and advanced techniques to create robust, maintainable, and high-quality systems."
C-SW425,Strategic Information Technology Management,4,4,Fall,"This course introduces students to the strategic perspective of software development and information technology within organizations. Topics focus on information services as a strategic function, including investing resources to support business strategy, managing information systems resources, project and human capital management, and infrastructure management—including cloud and big data infrastructures. The course also covers outsourcing decisions and their strategic impact. Students will develop the ability to align technology initiatives with organizational goals, manage IT resources effectively, and make informed decisions regarding technology investments and partnerships."
C-AI422,Machine Learning Fundamentals,4,4,"Fall,Spring","This course provides students with a solid understanding of the fundamental issues and challenges in machine learning, including data quality, model selection, model complexity, and the comparative strengths and weaknesses of popular machine learning approaches. Topics cover pattern recognition, feature selection, measurement techniques, statistical decision theory, non-statistical methods, automatic feature selection, data clustering, syntactic and mathematical pattern recognition, and connections to artificial intelligence. Students will learn to critically evaluate and apply machine learning methods in practical scenarios, balancing theoretical insight with hands-on analysis of real-world data."
C-AI415,Introduction to Intelligent Robotic Systems,4,4,Spring,"This course provides students with the methods for designing and analyzing robotic and intelligent systems, with an emphasis on modeling dynamics, measuring and controlling behavior, and decision-making for future actions. Topics include coordinate transformations, kinematics and inverse kinematics, dynamic modeling, control theory, sensing systems (robot vision, force control, tactile sensing), sensor-based robot control applications, robot programming, mobile robotics, and an introduction to micro-robotics. Through theoretical and practical study, students will learn to model, control, and implement robotic systems capable of autonomous and intelligent operation in real-world environments."
C-CS435,Computer Vision,4,4,Spring,"This course familiarizes students with both theoretical and practical aspects of computing with images, establishing a foundation in image formation, measurement, and analysis. Topics include perspective transformations, edge detection, image filtering, image segmentation, and feature tracking. The course also addresses advanced challenges such as shape recovery, stereo vision, active vision, autonomous navigation, shadow analysis, and physics-based vision. Through a combination of theory and application, students will explore the implementation of computer vision techniques to solve real-world problems in fields such as robotics, medical imaging, surveillance, and human-computer interaction."
C-AI412,Artificial Intelligence I,4,4,Fall,"This course equips students with fundamental concepts of artificial intelligence techniques, enabling them to apply these methods to real-world applications involving perception, reasoning, and learning. Topics include problem-solving using AI, search algorithms, inference techniques, logic and theorem proving, knowledge representation methods such as rules, frames, and semantic networks, and planning and scheduling. Through theoretical foundations and practical assignments, students will develop the ability to design and implement AI systems that perceive, reason, and adapt within dynamic environments."
C-AI413,Artificial Intelligence II,4,4,Spring,"This course teaches students modern methods of probabilistic reasoning and handling uncertain knowledge as applied in contemporary artificial intelligence systems. Topics include modeling uncertainty using probability, techniques for reasoning and learning under uncertainty, and decision-making frameworks based on utility theory and decision-theoretic methods. Through theory and applied examples, students will learn to design and implement AI algorithms that effectively manage incomplete and uncertain information in real-world contexts."
C-AI424,Natural Language Processing,4,4,Fall,"This course introduces techniques for creating computer programs that analyze, generate, and understand written human language. Emphasis is placed on broad coverage of both rule-based and data-driven empirical methods. Topics include word-level text processing, syntactic analysis, semantic interpretation, and applications such as conversational agents, sentiment analysis, information extraction, and question answering systems. Through theoretical study and hands-on projects, students will gain the skills to develop natural language processing systems that can interpret and respond to human language effectively."
C-CS495,Selected Topics in Computer Science-1,4,4,Fall,
C-CS496,Selected Topics in Computer Science-2,4,4,Spring,
HUM221,Entrepreneurship,3,2,Fall,"This course provides undergraduate students with the principles of social value creation to enable them to build and grow social ventures. Topics include an introduction to social entrepreneurship, the current status of social entrepreneurship in Egypt, ethical frameworks and the entrepreneurial mindset, environmental scanning for social ventures, opportunity discovery and assessment, feasibility analysis, and business model development for social impact. Students will also learn to write a business plan, explore funding sources, and examine fintech concepts, applications, and opportunities relevant to social ventures. Additional emphasis is placed on management issues specific to social enterprises. Through case studies and project work, students will develop the skills to design, evaluate, and launch initiatives that generate sustainable social impact."
C-TR304,Field Training,0,3,Summer,"This course fulfills the graduation requirement for students to complete a minimum of six weeks of practical training in an ICT-related company. It is not a traditional teaching course, but rather a structured internship or industrial placement designed to bridge academic knowledge with real-world professional experience. Students will apply theoretical concepts, develop technical and workplace skills, and gain exposure to industry practices, tools, and environments under the supervision of host organizations. The training aims to enhance students’ readiness for the ICT workforce and provide meaningful professional development in their field of specialization."
C-GP411A,Graduation Project [A],3,4,Fall,
C-GP411B,Graduation Project [B],3,4,Spring,
